Host Listings Count,Neighbourhood Group Cleansed,Latitude,Longitude,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Availability 30,Availability 60,Availability 90,Availability 365,Number of Reviews,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Checkin,Review Scores Communication,Review Scores Location,Review Scores Value,Cancellation Policy,Calculated host listings count,Reviews per Month,Name_Len,Name_Lang,Summary_Len,Summary_Lang,Space_Len,Space_Lang,Description_Len,Description_Lang,is_Thumbnail,is_HostAbout,is_ResponseInHours,Num_Host_Verifications,is_EntireHome,is_Bed,is_UpdatedToday
3.0,Centro,40.40736272267185,-3.696538668429271,Apartment,PrivateRoom,3,2.0,1.0,2.0,25.0,,10.0,2,15,1,8,38,68,68,3,87.0,10.0,9.0,10.0,10.0,9.0,9.0,flexible,3.0,0.4,24,False,481,False,0,False,481,False,False,True,False,3,False,True,False
2.0,Centro,40.40998005167543,-3.707136003497376,Apartment,EntireHome,2,1.0,1.0,2.0,55.0,100.0,30.0,1,0,1,12,42,72,347,1,80.0,10.0,8.0,10.0,10.0,10.0,8.0,moderate,1.0,0.16,34,False,224,False,58,False,609,False,False,True,True,4,True,True,False
1.0,Centro,40.41392259914522,-3.705530251917785,Apartment,EntireHome,8,1.0,3.0,5.0,94.0,,30.0,2,20,2,12,25,44,75,85,88.0,9.0,9.0,9.0,9.0,10.0,9.0,flexible,1.0,4.45,33,False,244,False,193,False,804,False,True,False,True,3,True,True,False
20.0,Centro,40.41173812408857,-3.7029173573996,Apartment,EntireHome,4,1.0,0.0,2.0,50.0,,20.0,2,8,3,4,17,17,270,70,92.0,10.0,10.0,10.0,10.0,9.0,9.0,moderate,20.0,2.46,35,False,58,False,0,False,316,False,True,True,True,5,True,True,False
12.0,Centro,40.41265125619415,-3.705917464635458,Apartment,EntireHome,6,2.0,3.0,5.0,150.0,90.0,30.0,3,25,1,7,13,27,282,50,98.0,10.0,10.0,10.0,10.0,10.0,10.0,strict,8.0,3.37,29,False,225,True,450,True,1000,True,True,True,True,5,True,True,True
1.0,Centro,40.40905019165716,-3.697580124022192,Apartment,EntireHome,3,1.0,1.0,1.0,30.0,,,1,0,1,0,0,0,0,10,88.0,9.0,9.0,9.0,10.0,9.0,9.0,flexible,1.0,1.16,40,False,350,False,0,False,350,False,True,False,False,4,True,False,False
12.0,Centro,40.41112947500099,-3.708047584902519,Apartment,EntireHome,6,1.0,3.0,5.0,126.0,90.0,25.0,2,20,1,6,14,33,308,219,97.0,10.0,10.0,10.0,10.0,10.0,10.0,strict,8.0,5.03,14,False,162,True,999,True,1000,True,True,True,True,5,True,True,False
1.0,Centro,40.409762239894434,-3.6988741601026778,Apartment,EntireHome,2,1.0,0.0,1.0,45.0,100.0,20.0,1,0,2,14,40,70,160,8,95.0,10.0,10.0,10.0,10.0,10.0,9.0,flexible,1.0,3.16,28,False,396,False,521,True,1000,True,False,False,True,3,True,True,False
2.0,Centro,40.411399727537145,-3.7014467543886487,Apartment,PrivateRoom,2,1.0,1.0,1.0,45.0,,,1,0,1,27,57,87,362,4,75.0,9.0,8.0,10.0,10.0,10.0,8.0,flexible,2.0,0.23,35,True,274,False,197,False,1000,False,False,True,False,2,False,True,False
164.0,Centro,40.40896511082217,-3.708517993917433,Apartment,EntireHome,7,2.0,3.0,5.0,165.0,200.0,50.0,4,10,2,0,12,42,317,6,93.0,10.0,9.0,9.0,8.0,10.0,9.0,strict,145.0,0.33,30,False,96,True,981,True,1000,True,False,True,True,3,True,True,True
